business group,matched business type,name,website,address,phone number,rating,place_id,source,website_content,Skill IDs,Skill Names,Skill Source
Animal Care And Services,Animal Shelter,South LA Animal Shelter,http://www.laanimalservices.com/,"1850 W 60th St, Los Angeles, CA 90047, United States",(888) 452-7381,4.2,ChIJyzN1pdy3woARth-arN2pKN8,google_places,,,,none
Animal Care And Services,Animal Shelter,West Los Angeles Animal Shelter,http://www.laanimalservices.com/shelters/,"11361 W Pico Blvd, Los Angeles, CA 90064, United States",(888) 452-7381,4.2,ChIJ00lIEAq7woARFAauBsu17iE,google_places,,,,none
Animal Care And Services,Animal Shelter,North Central Animal Shelter,http://www.laanimalservices.com/shelters/,"3201 Lacy St, Los Angeles, CA 90031, United States",(888) 452-7381,4.2,ChIJxYmwwY_GwoAR8QaIK7QLGpU,google_places,,,,none
Animal Care And Services,Animal Shelter,Los Angeles City East Valley Animal Shelter,http://www.laanimalservices.com/,"14409 Vanowen St, Van Nuys, CA 91405, United States",(888) 452-7381,4.3,ChIJ2dejlhuXwoARvCSZUCnjVGs,google_places,,,,none
Animal Care And Services,Animal Shelter,County of Los Angeles Department of Animal Care and Control - Baldwin Park Animal Care Center,http://animalcare.lacounty.gov/,"4275 Elton St, Baldwin Park, CA 91706, United States",(626) 962-3577,3.8,ChIJSxWoB43XwoAR_BhTzS-B9HA,google_places,,,,none
Animal Care And Services,Animal Shelter,County of Los Angeles Department of Animal Care and Control - Downey Animal Care Center,http://animalcare.lacounty.gov/,"11258 Garfield Ave, Downey, CA 90242, United States",(562) 940-6898,3.7,ChIJ0f89oVfMwoARrW9ZParst_M,google_places,,,,none
Animal Care And Services,Animal Shelter,Los Angeles County Animal Care and Control,http://animalcare.lacounty.gov/,"5210 W Ave I, Lancaster, CA 93536, United States",(661) 940-4191,4.0,ChIJO1sOLkJDwoAR7dQ22IakxqY,google_places,,,,none
Animal Care And Services,Animal Shelter,Harbor Animal Care Center,http://www.laanimalservices.com/,"957 N Gaffey St, San Pedro, CA 90731, United States",(888) 452-7381,4.5,ChIJw5PosR423YAR_HCeAg3baDo,google_places,,,,none
Animal Care And Services,Animal Shelter,South Los Angeles Animal Care Center,,"1850 W 60th St, Los Angeles, CA 90047, United States",(562) 417-5464,4.1,ChIJoUOHVdu3woARzfGjvkmX_8k,google_places,,,,none
Animal Care And Services,Animal Shelter,West Valley Animal Shelter,http://www.laanimalservices.com/shelters/,"20655 Plummer St, Chatsworth, CA 91311, United States",(888) 452-7381,4.2,ChIJsyP2nJ6cwoARNEyUUXlMfic,google_places,,,,none
Animal Care And Services,Animal Shelter,LAAS Los Angeles Animal Services Bernheim Foundation,https://www.laanimalservices.com/east-valley,"Vanowen St, Van Nuys, CA 91405, United States",,4.6,ChIJ6eRZhBuXwoAROYPfIyJTVeo,google_places,,,,none
Animal Care And Services,Animal Shelter,Carson Animal Shelter,https://animalcare.lacounty.gov/acc-carson-gardena,"216 W Victoria St, Gardena, CA 90248, United States",(310) 523-9566,3.5,ChIJ8fB57bfKwoARanKrP2-LZ-w,google_places,,,,none
Animal Care And Services,Animal Shelter,SEAACA Animal Shelter,http://www.seaaca.org/,"9777 Seaaca St, Downey, CA 90241, United States",(562) 803-3301,3.5,ChIJw1lFCmLNwoAR637YrOnLkQg,google_places,,,,none
Animal Care And Services,Vetinary Services,Long Beach Animal Care Services,http://www.longbeach.gov/acs,"7700 E Spring St, Long Beach, CA 90815, United States",(562) 570-7387,3.5,ChIJg5lMCG4u3YARw-xVyY2Q5Ko,google_places,,,,none
Animal Care And Services,Pet walking,Best Friends Pet Adoption Center,https://bestfriends.org/los-angeles,"1845 Pontius Ave, Los Angeles, CA 90025, United States",(424) 208-8840,4.7,ChIJHYlriHa7woARSvQQdANqlOQ,google_places,,,,none
Animal Care And Services,Animal Shelter,Los Angeles County Animal Care and Control- Castaic Care Center,http://animalcare.lacounty.gov/,"31044 Charlie Canyon Rd, Castaic, CA 91384, United States",(661) 257-3191,4.1,ChIJgTC4vut-woARyWJB1KwyzzY,google_places,,,,none
Animal Care And Services,Animal Shelter,County of Los Angeles Department of Animal Care and Control,http://animalcare.lacounty.gov/,"5898 Cherry Ave, Long Beach, CA 90805, United States",(562) 728-4882,1.3,ChIJ-UaRiCIz3YARb_6swaSIEOA,google_places,,,,none
Animal Care And Services,Animal Shelter,L.A. County Animal Control,https://animalcare.lacounty.gov/,"38550 Sierra Hwy, Palmdale, CA 93550, United States",(562) 940-6898,3.2,ChIJrXDpISlYwoAR7Yqzf-s0mFE,google_places,,,,none
Animal Care And Services,Animal Shelter,Pasadena Humane,http://www.pasadenahumane.org/,"361 S Raymond Ave, Pasadena, CA 91105, United States",(626) 792-7151,4.4,ChIJA-_NG3vDwoARxPMRth5F4sc,google_places,,,,none
Animal Care And Services,Animal Shelter,City of Santa Monica Animal Shelter,https://www.santamonica.gov/categories/services/animal-services,"1640 9th St, Santa Monica, CA 90404, United States",(310) 458-8595,4.2,ChIJ0WEJTC27woAR7RFsTBPIyP8,google_places,,,,none
