business_type,business_group
Restaurants,Food and Beverages
Quick Service Restaurants,Food and Beverages
Bakeries,Food and Beverages
Donuts,Food and Beverages
Pastery Shops,Food and Beverages
Sushi,Food and Beverages
Cafes,Food and Beverages
Coffee Roasters,Food and Beverages
Breweries,Food and Beverages
Distilleries,Food and Beverages
Wine Bars,Food and Beverages
Bars,Food and Beverages
Sandwich Shops,Food and Beverages
Tacos,Food and Beverages
Bars (exclude grocery stores),Food and Beverages
Ice cream,Food and Beverages
Staffing & recruiting house cleaning,Recruiting and Staffing
Industrial Staffing & Recruiting,Recruiting and Staffing
Staffing & Recruiting Services,Recruiting and Staffing
Recruiter,Recruiting and Staffing
Accounting & Payroll Staffing & Recruiting,Recruiting and Staffing
Customer Service Staffing & Recruiting,Recruiting and Staffing
Sales Staffing & Recruiting,Recruiting and Staffing
Admin Staffing & Recruiting,Recruiting and Staffing
Manufacturing Staffing & Recruiting,Recruiting and Staffing
Security Staffing,Recruiting and Staffing
Video & Audio Production Staffing & Recruiting,Recruiting and Staffing
Property Management Staffing & Recruiting,Recruiting and Staffing
Staffing & Recruiting Mechanics,Recruiting and Staffing
Grocery Stores,Retail
Supermarkets,Retail
Butcher,Retail
Seafood Market,Retail
Department Store,Retail
Retail,Retail
Marijuana Retail,Retail
Public Storage,Retail
Pet supply,Retail
Clothing,Retail
watches,Retail
jewelry,Retail
art gallery,Retail
Luxury Goods,Retail
furniture,Retail
Garden & Plants Store,Retail
electronics,Retail
computer and smartphone repair,Retail
Appliance repair,Retail
construction supplies,Retail
hardware store,Retail
flower shop,Retail
furniture repair,Retail
toys and gifts,Retail
Fashion and Apparel,Retail
Tailors,Retail
Dry Cleaners,Retail
Home Goods,Retail
Beauty and Personal Care,Retail
Arts & Crafts supply,Retail
Health and Wellness Products,Retail
Sporting & Outdoors Goods,Retail
Footwear,Retail
Book Shop,Retail
framing shop,Retail
shoe repair,Retail
Liquor store,Retail
Parking Garage,Retail
Medical equipment service and repair,Retail
Upholstery,Retail
