place_id,name,lat_lng,phone_number,website,types,input_business_type,input_location,predicted_business_type,business_group
ChIJAQBAe3vHwoARivYM-KHzghw,Maid For LA Home And Office Cleaning Service,"34.0663053, -118.3511646",(323) 632-5693,https://maidforla.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJWxsE_5q7woARolxoAf_LTKU,MaidThis Cleaning of Los Angeles,"34.0931967, -118.3830489",(424) 728-5841,https://maidthis.com/house-cleaning-services/los-angeles/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJfa83bIXHwoARrENp74bPt1w,Los Angeles House Cleaning & Maids Co,"34.0540387, -118.2511548",(213) 898-2012,https://lacleaningco.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJ281C1BG7woARPiHuwu8PMQI,Sparkle & Shine Cleaning LA - LA House Cleaners,"34.0485592, -118.4313265",(213) 693-2073,https://www.sparkleshinela.com/?utm_campaign=gmb,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJh4iE517BwoARU2NmIon73SE,HouseClean Los Angeles - Maid & House Cleaning Service,"34.107126, -118.2784144",(213) 290-5208,https://housecleanlosangeles.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJM3-JXeu_woARW5L4kdJFJSk,Los Angeles Cleaning Company,"34.0520326, -118.4087528",(800) 675-1842,http://www.lacleanco.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJT0h6N1CGLY4R8HV8bvYpFWo,NeatO Cleaning,"34.075775, -118.3677968",(323) 240-7053,http://www.neatocleaning.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJY2pnph3HwoARgWUETQVQHKk,MaidThis Cleaning Downtown LA,"34.0474645, -118.2489783",(424) 369-7269,https://www.maidthis.com/downtown-los-angeles-cleaning-service/?utm_campaign=gmb,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJt3lsR9Mo-o4RYOmrLwfdGvg,Aya Cleaning Solutions,"34.0535196, -118.2513626",(949) 919-6852,https://www.ayacleaningsolutions.com/?utm_source=google&utm_medium=wix_google_business_profile&utm_campaign=7577743427748975021,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJry7l676CHWcRftEeVQJQ4Pw,Bright House Cleaning Services,"34.1049005, -118.3476086",(213) 434-9460,https://brighthousecl.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJf7_VBy92AIwR2G5bOKUUyEA,Cleaning in LA,"34.137733, -118.2647464",(323) 712-5196,https://cleaninginla.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJOTtUIl3HwoARY8iS9LImHp8,Los Angeles House Cleaning,"34.04054, -118.289747",(213) 279-7901,https://housecleaninglosangeles.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJD96NH3O5woAR6VgOZGX6Ijs,Maid For California home and office cleaning service,"34.0681361, -118.3522754",(213) 703-3189,https://maidforcali.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJGfynmIK5woARFHeB7Wr6c9g,The Maids in West Los Angeles,"34.0328489, -118.3827201",(310) 280-0300,https://www.maids.com/185/?utm_source=GMB_listing&utm_medium=organic,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJFwow2avHwoARlp_tbxoMdA0,MaidPro,"34.048684, -118.2575278",(213) 797-4344,https://www.maidpro.com/dtla/?utm_source=gmb&utm_medium=organic,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJ4zm_9OjHwoARujRJi9QVn5w,Los Angeles Apartment Cleaning Ltd,"34.0485277, -118.25109",(213) 286-5041,,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJIeNbj78dAosRv_0T0NGNuXo,Tay Cleaning Service,"33.975414, -118.378746",(508) 422-6761,http://taycleaningservices.com/,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJL3olM4m5woARR1IZd4ZTuHM,MOLLY MAID of Playa Vista,"34.0185078, -118.3872483",(310) 879-1360,https://www.mollymaid.com/playa-vista/?cid=LSTL_MLY000192&utm_source=gmb&utm_campaign=local&utm_medium=organic,"['point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
ChIJJZdH85fJwoARbellmLZsj6o,Premium Cleaning,"33.9646877, -118.2760593",(323) 495-9979,http://www.premium-cleaning.com/,"['laundry', ' point_of_interest', ' establishment']",Cleaning Services,Los Angeles,,
